system:index,CD_GEOCMU,NM_MUNICIP,sum,.geo
0000a3bf660d35fb2068,3114006,CARMO DA MATA,3.570781507841911E8,
0000e58f07f231607b67,3161205,SÃO FRANCISCO DE PAULA,3.168003027583331E8,
0000ccfaec55e158ffeb,3133501,ITAPECERICA,1.0405852901631131E9,
000039531eb2c721f110,3116605,CLÁUDIO,6.305417934849268E8,
00007c555f9c300227bc,3122306,DIVINÓPOLIS,7.080419108743255E8,
0000f3a516ba0d278336,3164605,SÃO SEBASTIÃO DO OESTE,4.079975524001836E8,
000047a592d51c1f2c39,3149705,PERDIGÃO,2.493392860751225E8,
0000786d9ba1b9179236,3161809,SÃO GONÇALO DO PARÁ,2.6571743880398285E8,
0000a63c37538be5dff9,3114204,CARMO DO CAJURU,4.5576968609871334E8,
00000f7843771382e95f,3130200,IGARATINGA,2.1829571862340692E8,
0000836b5bbd6baa2329,3133808,ITAÚNA,4.95721776334804E8,
0000b4dde4f6bcbb9de5,3132206,ITAGUARA,4.1042417143848026E8,
00000e9bf0662ea19caa,3133709,ITATIAIUÇU,2.950895451369485E8,
0000d5809d4b14451401,3140704,MATEUS LEME,3.01334621314522E8,
0000d102ad0a52960303,3155306,RIO MANSO,2.3152978928799024E8,
0000a9127e72a2c00a9c,3120607,CRUCILÂNDIA,1.6717939227610287E8,
0000898d3fc9584ce9bd,3150604,PIRACEMA,2.8022246396409315E8,
0000e34abaeaea38183e,3121407,DESTERRO DE ENTRE RIOS,3.771393583162989E8,
000042661aee448fa4ca,3123908,ENTRE RIOS DE MINAS,4.567881713398282E8,
000047d1f48d7fa2e058,3137403,LAGOA DOURADA,4.767085101101099E8,
0000f2efb6e4c817f577,3135407,JECEABA,2.3619195897561264E8,
0000b2905d6596c73165,3150406,PIEDADE DOS GERAIS,2.5960615043854156E8,
00006c8687e4368fbc9c,3108107,BONFIM,3.017627014059434E8,
0000596fd0b8da127ed0,3109006,BRUMADINHO,6.394164006798404E8,
000013e78138f1f8b5bc,3106408,BELO VALE,3.658761102553307E8,
00001d2e3c85ab3e995f,3160900,SÃO BRÁS DO SUAÇUÍ,1.1004259151452206E8,
00002e16e3372f369c62,3118007,CONGONHAS,3.039541661403186E8,
0000dd5a94e5131f50e8,3142304,MOEDA,1.5511880031090698E8,
0000f462ef8073432311,3131901,ITABIRITO,5.42666476290625E8,
0000c589cb2d189b0932,3146107,OURO PRETO,1.2456533831788597E9,
000003f91abef595b05a,3145901,OURO BRANCO,2.587343335213848E8,
