system:index,CD_GEOCMU,NM_MUNICIP,mean,.geo
00005c6552d223b85ba0,3116605,CLÁUDIO,3.0,
000064c4ac9c4824bc03,3122306,DIVINÓPOLIS,3.0,
0000a7955e1fc2ac63e3,3164605,SÃO SEBASTIÃO DO OESTE,3.0,
0000d7999f43fb39ce8b,3149705,PERDIGÃO,3.0,
0000e46e52cda958ce26,3161809,SÃO GONÇALO DO PARÁ,3.0,
0000ef920b041b3bd819,3114204,CARMO DO CAJURU,3.0,
0000de66ab04c8f768bc,3130200,IGARATINGA,3.0,
00005993e40e9866afbb,3133808,ITAÚNA,3.0,
00007975b63ce0c5aad2,3132206,ITAGUARA,2.655573979834943,
00005fd8ecf74b311d6b,3133709,ITATIAIUÇU,2.5766234798505696,
00001256ab47dd3079aa,3140704,MATEUS LEME,2.973074376517326,
0000d09467fccb179ace,3155306,RIO MANSO,2.0,
000030dca7d5818ec665,3120607,CRUCILÂNDIA,2.0,
0000e9817c57b6d73423,3150604,PIRACEMA,2.0027761502190224,
000057b2d3daf042487f,3121407,DESTERRO DE ENTRE RIOS,1.7697715654455155,
00006ae8d56b21fbe5e8,3123908,ENTRE RIOS DE MINAS,2.097557424504549,
00005fea5a1165b25a3f,3137403,LAGOA DOURADA,3.0,
00006434e76976084861,3135407,JECEABA,1.3272621905786908,
0000f7d9b524f176fba4,3150406,PIEDADE DOS GERAIS,2.0,
0000bc15d03907b8870c,3108107,BONFIM,2.0,
0000f6e17b527ec0b63a,3109006,BRUMADINHO,2.0,
0000b0ba4708f7120575,3106408,BELO VALE,1.8315939177484548,
0000e8f75b8926798b66,3160900,SÃO BRÁS DO SUAÇUÍ,2.29973314356876,
0000bbba64bd4c4d6ae3,3118007,CONGONHAS,2.27955661857367,
0000e73ac6d5677d4f3b,3142304,MOEDA,2.0,
0000b2402b69520e3a5d,3131901,ITABIRITO,2.294058270907086,
000014df10798619e9aa,3146107,OURO PRETO,3.152286096340611,
000016e8fcff04509001,3145901,OURO BRANCO,3.0,
0000226c9b5902975efc,3118304,CONSELHEIRO LAFAIETE,3.0,
000068698cb5ed71f652,3153806,QUELUZITO,3.0,
000020153c9959c60a02,3120409,CRISTIANO OTONI,3.0,
00003d8398fb5060bdef,3114907,CASA GRANDE,3.0,
000078e876b8d4f28cbd,3113206,CARANDAÍ,3.0,
000040b4665e3db13ece,3113107,CARANAÍBA,3.0,
0000bf680f3289bdb9f1,3154408,RESSAQUINHA,3.0,
000010b97013349f05fe,3101631,ALFREDO VASCONCELOS,3.0,
0000f6d736277d64f6f9,3105608,BARBACENA,3.0,
000065c307f85d0894ed,3105905,BARROSO,3.0,
000043c37939d0bbacd5,3123007,DORES DE CAMPOS,3.0,
000044cecec4e51d1221,3152709,PRADOS,3.0,
0000feb431548df8435d,3168804,TIRADENTES,3.0,
00004fbaea4c8f7d4ba1,3119708,CORONEL XAVIER CHAVES,3.0,
0000d6f756b89883a266,3157336,SANTA CRUZ DE MINAS,3.0,
0000519d688df136bb45,3145703,OLIVEIRA FORTES,3.0,
00003d285810a79e75d3,3103306,ARACITABA,3.0,
0000daaf8e0e6fac40e8,3157302,SANTA BÁRBARA DO TUGÚRIO,3.0,
0000f9d31b4b6e17ad39,3166204,SENHORA DOS REMÉDIOS,3.0,
0000bdc9127184f5bfda,3121506,DESTERRO DO MELO,3.0,
00001ec60d6ef895d6b2,3102100,ALTO RIO DOCE,3.0,
0000bb67f95b35e258b8,3146602,PAIVA,3.0,
0000455772a856628ef8,3167905,TABULEIRO,3.0,
0000199a6716a74f4ce3,3141603,MERCÊS,3.0,
0000c60bbcd543db79d2,3155801,RIO POMBA,3.0,
000037bed4a11e44bcff,3167301,SILVEIRÂNIA,3.0,
0000d92ca1bcf1c1090c,3128402,GUARANI,2.787404721379413,
0000e42897056d9c4ada,3155405,RIO NOVO,3.0,
000007c2279abe3c57db,3150109,PIAU,3.0,
0000713e41979bef587e,3127388,GOIANÁ,3.0,
0000870d05f012c2fed0,3119609,CORONEL PACHECO,3.0,
0000b89933575287a486,3162906,SÃO JOÃO NEPOMUCENO,2.660504556760235,
00007cbbe3f5f5f040e2,3156205,ROCHEDO DE MINAS,3.0,
00007201744475ee8eda,3140209,MARIPÁ DE MINAS,2.8412987407070234,
000011d3cab79eab9067,3121308,DESCOBERTO,2.3270374449339215,
0000fad172eca8b80661,3138401,LEOPOLDINA,2.0,
0000aa053acab7450264,3104403,ARGIRITA,2.0,
0000da55c8ff7770d524,3160009,SANTO ANTÔNIO DO AVENTUREIRO,2.0100162740235588,
000096a4175117a357e2,3172103,VOLTA GRANDE,2.0,
000063c271c026739dd6,3124609,ESTRELA DALVA,2.0,
0000ccf4323321d1f0af,3132602,ITAMARATI DE MINAS,2.0,
0000fb1ca31a0b25fc6f,3104601,ASTOLFO DUTRA,2.0,
000083f5da23795a777a,3115300,CATAGUASES,2.0,
0000383492b3eb871ecf,3154101,RECREIO,2.0,
00007a5af2f4abed5fe8,3158409,SANTANA DE CATAGUASES,2.0,
00009059df404ba03fde,3128808,GUIDOVAL,2.0,
0000255ce09c7bec5f70,3122900,DONA EUSÉBIA,2.0,
000058e2535d6ea16099,3156304,RODEIRO,2.0,
00005c55e6dcaebe57ad,3169901,UBÁ,2.2665533337175137,
00008df1114addfd5178,3151305,PIRAÚBA,2.7216872372168717,
00001c677e413751b9fa,3169000,TOCANTINS,2.621478080835358,
0000242eec8d5020c789,3123304,DORES DO TURVO,3.0,
000034fee302da1ad8ce,3121902,DIVINÉSIA,2.2570520327923704,
00009c5a15b604960ae9,3165701,SENADOR FIRMINO,3.0,
000062e78eda8eea97fc,3108701,BRÁS PIRES,3.0,
000097f812d8c46514ba,3153103,PRESIDENTE BERNARDES,3.0610133068848673,
0000201dc358f475fb9c,3148301,PAULA CÂNDIDO,2.208165704623637,
000087a34bba5b9a0869,3172004,VISCONDE DO RIO BRANCO,2.0,
0000ca09df6a664f0ebb,3161502,SÃO GERALDO,2.0,
00004fa8943fbea79b5d,3129004,GUIRICEMA,2.0,
00002e39be7f68c2d97e,3142205,MIRAÍ,2.0,
00007a1d0c941503b3b9,3164431,SÃO SEBASTIÃO DA VARGEM ALEGRE,2.0,
000052b5642630af9d82,3143906,MURIAÉ,2.0,
0000b6a9752acd55c373,3156452,ROSÁRIO DA LIMEIRA,2.0,
0000858f73d412808d48,3116704,COIMBRA,2.0,
0000a82c5b78cab49c9a,3171303,VIÇOSA,2.0,
00007bf56a73591c3a3a,3110202,CAJURI,2.0,
0000193062b0dfd31319,3163805,SÃO MIGUEL DO ANTA,2.0,
0000d75a01eea321d541,3124005,ERVÁLIA,2.0,
00007560a57ebf6a9733,3111705,CANAÃ,2.0,
0000b5753a4669ddc226,3103702,ARAPONGA,2.4249160155998597,
000027101fa90d2ae16b,3148806,PEDRA DO ANTA,2.0,
000008820adf7863fe20,3168507,TEIXEIRAS,2.0,
00008f8b9f3728e96224,3128204,GUARACIABA,2.7563487078248383,
000073cc9328ae43b199,3152303,PORTO FIRME,3.3952233148382156,
00000f76c2c912b6fee9,3150802,PIRANGA,3.1878119565797998,
0000f55a5203d434e90d,3121704,DIOGO DE VASCONCELOS,4.0,
0000c250a468e409b2a2,3140001,MARIANA,3.9040154591903566,
0000c0f1c77169b52731,3115409,CATAS ALTAS DA NORUEGA,3.0,
0000427076bd869dfe3f,3137908,LAMIM,3.0,
00007d797545654fa0ee,3166006,SENHORA DE OLIVEIRA,3.0,
00007e968832b4cdc803,3116308,CIPOTÂNEA,3.0,
00002e6b6ea66d6b30d0,3155207,RIO ESPERA,3.0,
0000674aba05d8cfb636,3133907,ITAVERAVA,3.0,
0000cf94632403b6d6f1,3159100,SANTANA DOS MONTES,3.0,
000068a4e2f23ac455f9,3112208,CAPELA NOVA,3.0,
0000f3dcdc45a23ad449,3157203,SANTA BÁRBARA,3.639243979967529,
0000dbaca5eeff19e85c,3115359,CATAS ALTAS,4.0,
00002df42c95e98c7028,3154804,RIO ACIMA,2.040235458241889,
0000fc065905a998f02b,3110004,CAETÉ,2.0318424031784725,
0000cf7eedacc0195246,3144805,NOVA LIMA,2.0,
000044ef9d9c61fc1dc2,3153905,RAPOSOS,2.0,
0000bbb56115976560cb,3105400,BARÃO DE COCAIS,2.8520669980598585,
0000c3f8fbb3c46563b4,3156700,SABARÁ,2.0,
000062d558cb50321981,3157807,SANTA LUZIA,2.0,
0000a359274ee58fb37a,3102308,ALVINÓPOLIS,3.7914279748933253,
0000160dd59c5ea5be4b,3161908,SÃO GONÇALO DO RIO ABAIXO,3.4571910812960955,
00002ab4f9b0581a7127,3155702,RIO PIRACICABA,3.9988359288972783,
00009acb84c6a68c95c9,3105707,BARRA LONGA,3.6703814349949506,
0000f668335f3bc72ab9,3100401,ACAIACA,3.9667101326992404,
0000e7884f9f7ca3c14f,3152105,PONTE NOVA,2.0424443982540015,
0000bf8cdc39879c26b1,3157401,SANTA CRUZ DO ESCALVADO,2.2267986698911737,
00002d59ed7e5e2e115d,3102506,AMPARO DO SERRA,2.0,
0000aad5c7dda291ddaf,3145851,ORATÓRIOS,2.0,
0000539afaa6ad3dfc0f,3135506,JEQUERI,2.3558002454828295,
0000efa640bdd7dab1f4,3170503,URUCÂNIA,2.133087032545546,
000097ae820ad3fc754a,3155009,RIO DOCE,2.9463324243059907,
000078146985ea0ac8bc,3150208,PIEDADE DE PONTE NOVA,2.603587611528939,
0000a6ac975fe7742005,3160108,SANTO ANTÔNIO DO GRAMA,2.98186349578116,
00007b61172c85ec2ad7,3100302,ABRE CAMPO,3.0,
0000e25d3ec24933bde2,3154903,RIO CASCA,3.186040831280913,
0000d25cb90d97c1acc4,3164001,SÃO PEDRO DOS FERROS,3.1585822706186084,
00004e21f93e967b40a8,3165560,SEM-PEIXE,3.4277017753575065,
0000f5455f5c5abdb3af,3161007,SÃO DOMINGOS DO PRATA,3.4996871533053953,
0000b57b7e886b6c187d,3122702,DOM SILVÉRIO,3.021839057387743,
000023d709325a540beb,3136207,JOÃO MONLEVADE,3.9993684875276285,
000004879f9a748f301d,3106002,BELA VISTA DE MINAS,3.893649031056346,
000092db972a721be0ea,3144706,NOVA ERA,3.296608245304847,
0000e0b577050999e3f9,3131703,ITABIRA,2.7648139541412338,
000033fd9a680126b97b,3103009,ANTÔNIO DIAS,3.152345806554154,
00004e39edf819ca7e23,3121803,DIONÍSIO,3.886205744438172,
000093b24b9cec00e7ca,3163409,SÃO JOSÉ DO GOIABAL,3.9982672552498038,
0000a20ec8f8d8868f54,3154002,RAUL SOARES,3.0,
000076c180ac365fb3c9,3120003,CÓRREGO NOVO,3.0,
0000b2ab79215fab242e,3140308,MARLIÉRIA,3.6593078930015226,
0000dfdc9659cfe3676d,3135001,JAGUARAÇU,4.0,
00009d1ce13d6c6b6d8b,3168705,TIMÓTEO,3.7542129504199426,
0000adf2c3e3e0319f95,3119401,CORONEL FABRICIANO,3.1307214963845644,
0000af5375220eb52411,3131307,IPATINGA,2.9454976865583107,
00000d33643af25d514a,3125903,FERROS,3.095751444982883,
0000d708b08bab53e8c1,3158003,SANTA MARIA DE ITABIRA,3.08032007543513,
0000d56e5bc94d28a27d,3147501,PASSABÉM,3.0,
00009c535ee5d432d3eb,3164803,SÃO SEBASTIÃO DO RIO PRETO,3.0,
00006140406272c2d471,3160504,SANTO ANTÔNIO DO RIO ABAIXO,3.0,
0000f1b3b7b9c7d3b27e,3132800,ITAMBÉ DO MATO DENTRO,2.591936594742957,
0000554b332a0c0bf01a,3143708,MORRO DO PILAR,2.1675945180357936,
0000acca3d4f5243f8d5,3134608,JABOTICATUBAS,2.0,
00008f02ede2816ea814,3107703,BOM JESUS DO AMPARO,2.3852370474094826,
0000aca67ea791324841,3136603,NOVA UNIÃO,2.0,
0000ce021f0930d6ca40,3168309,TAQUARAÇU DE MINAS,2.0,
0000a7c78b677a9757db,3105004,BALDIM,2.055766731073248,
00008ff86b4ed3fab1f9,3159001,SANTANA DO RIACHO,2.0,
0000a6279eb823ae5302,3135704,JEQUITIBÁ,2.8676422764227665,
0000704a0c19f1b24b6c,3158508,SANTANA DE PIRAPAMA,2.8849597483689142,
0000977cb76cb430a4eb,3127206,FUNILÂNDIA,2.871740662438337,
0000b6e9de60106750be,3118908,CORDISBURGO,3.0,
000012646a37989cd530,3103207,ARAÇAÍ,3.0,
000096b9b25688fae67a,3120904,CURVELO,3.0,
0000f8a8b9415b7154c6,3131109,INIMUTABA,3.0,
0000fa29febb3afb1686,3147402,PARAOPEBA,3.0,
00009277c5a01d12fc35,3167202,SETE LAGOAS,3.0,
0000cc12405badd4c53a,3153608,PRUDENTE DE MORAIS,2.9962516143257627,
00005a8da4f45a4e5aa1,3109907,CAETANÓPOLIS,3.0,
0000303933dfe3da7b8c,3131000,INHAÚMA,3.0,
0000dbb21af921a8caa3,3124104,ESMERALDAS,2.884154363397165,
0000ee13893d57739806,3112505,CAPIM BRANCO,3.0,
000018c169bef7c32640,3141108,MATOZINHOS,2.2921531234010883,
000078bc3fe026383b1c,3149309,PEDRO LEOPOLDO,2.0578176766057497,
0000336784bba3e8f22e,3162955,SÃO JOSÉ DA LAPA,2.0,
0000582590403e8345b6,3117876,CONFINS,2.0,
000026cfd9fdf030e43f,3171204,VESPASIANO,2.0,
00005485701c808bda11,3137601,LAGOA SANTA,2.0,
0000bb66d49b1e755e21,3106200,BELO HORIZONTE,2.0,
00004ae1e7bda8f663ae,3154606,RIBEIRÃO DAS NEVES,2.0,
00001c7b156839765a12,3118601,CONTAGEM,2.0,
00001c1d712c38f0ccbb,3106705,BETIM,2.049677793310375,
0000b014219d3bfe0f6c,3165537,SARZEDO,2.0,
0000d38a9aab6faa4ea7,3129806,IBIRITÉ,2.0,
0000480368034b2980a4,3162922,SÃO JOAQUIM DE BICAS,2.0,
0000420b4b8af0494306,3140159,MÁRIO CAMPOS,2.0,
0000ad94f8757066bd11,3130101,IGARAPÉ,2.11599055440031,
000032acd424afaddad1,3136652,JUATUBA,2.8130983989057836,
000042efdb87bdbfb3bc,3126000,FLORESTAL,3.0,
0000928e3e8820f37d50,3126406,FORTUNA DE MINAS,3.0,
000072e042e42e5575f0,3109600,CACHOEIRA DA PRATA,3.0,
00008ed956e42c58671e,3163102,SÃO JOSÉ DA VARGINHA,3.0,
000057ffe0586a20336d,3149606,PEQUI,3.0,
00006ddf157aa7b6d140,3139706,MARAVILHAS,3.0,
0000e72189f62e102bee,3145802,ONÇA DE PITANGUI,3.0,
0000525b14f676042bc4,3147105,PARÁ DE MINAS,3.0,
00006a57f470f3f35fa4,3117603,CONCEIÇÃO DO PARÁ,3.0,
000089c11c4d7ee1f24a,3151404,PITANGUI,3.0,
0000196a08e965429194,3145208,NOVA SERRANA,3.0,
0000446cb391056f0277,3138302,LEANDRO FERREIRA,3.0,
000047cdd856501a270e,3140506,MARTINHO CAMPOS,3.0,
00006e0ec42d196e0aa1,3146909,PAPAGAIOS,3.0,
000033d7b7132a0a0220,3152006,POMPÉU,3.0,
0000b9cc824445bcd093,3125705,FELIXLÂNDIA,3.0,
000001c24c74bb951eba,3143609,MORRO DA GARÇA,3.0,
0000bb28964fa21241a6,3119104,CORINTO,3.0,
0000a9f7f75d3914b9b1,3169356,TRÊS MARIAS,3.0,
00008b3f43d91d20ae56,3153202,PRESIDENTE JUSCELINO,3.0,
000055373cd20a345693,3127602,GOUVEIA,3.0,
0000e13ea8f5b0676257,3117504,CONCEIÇÃO DO MATO DENTRO,2.244850171301001,
000018f180f83b41d38b,3118106,CONGONHAS DO NORTE,2.1823202822277485,
0000eebd88966cbfb53d,3142502,MONJOLOS,3.0,
00005af16a26f76cb267,3160603,SANTO HIPÓLITO,3.0,
00000432de4093d11269,3104809,AUGUSTO DE LIMA,3.0,
0000d7bc281793e6ac33,3121605,DIAMANTINA,2.8324713682941502,
00004efe1e497c164c7b,3109204,BUENÓPOLIS,3.0,
0000c75437024422a630,3136405,JOAQUIM FELÍCIO,2.995413818835961,
0000d3f36ca28ab76a5e,3138104,LASSANCE,3.0,
000039716f6aa93bdea8,3170800,VÁRZEA DA PALMA,2.665127955944282,
0000def22cd061663096,3151206,PIRAPORA,2.214641434262949,
0000fd864f4cdc468a49,3109402,BURITIZEIRO,2.2154497299486757,
00006757ff2407ee6e38,3126604,FRANCISCO DUMONT,2.5757777965201947,
000021c075fed3fa5453,3135605,JEQUITAÍ,2.002339127218935,
00004b0cdc4353bd3359,3137304,LAGOA DOS PATOS,2.0,
000012d9b65e7085a329,3129608,IBIAÍ,2.0,
000097a933a7aff41d7f,3152131,PONTO CHIQUE,2.0,
000033c07d717ce11211,3118809,CORAÇÃO DE JESUS,2.0,
000053e211644940f6dc,3111150,CAMPO AZUL,2.0,
0000aabd4c6e646e9bbd,3170008,UBAÍ,2.0,
